"from","to","weight"
"DB00182","DB01576",1
"DB00187","DB00195",0.667506297229219
"DB00187","DB00264",0.729805013927577
"DB00195","DB00264",0.875757575757576
"DB00199","DB01211",0.981416957026713
"DB00199","DB00207",0.831115660184237
"DB00207","DB01211",0.821392532795156
"DB00215","DB01175",1
"DB00241","DB00312",0.735807860262009
"DB00241","DB00418",0.835140997830803
"DB00241","DB01351",0.789598108747045
"DB00241","DB00237",0.763097949886105
"DB00273","FOOD00049 _ FDB001141 _ Inulin",0.399618883165527
"DB00273","FOOD00006 _ FDB001131 _ Sucrose",0.15379377638843
"DB00273","FOOD00072 _ FDB001131 _ Sucrose",0.20066976046281
"DB00273","FOOD00017 _ FDB001141 _ Inulin",0.368489355291382
"DB00273","FOOD00020 _ FDB001141 _ Inulin",0.411988086295486
"DB00273","FOOD00012 _ FDB001131 _ Sucrose",0.356261536090909
"DB00281","DB00297",0.613553113553114
"DB00289","DB00472",0.725646123260437
"DB00312","DB00418",0.88641425389755
"DB00312","DB00599",0.744034707158351
"DB00312","DB01351",0.866995073891626
"DB00312","DB00237",0.947236180904523
"DB00317","DB00530",0.747219413549039
"DB00318","DB00497",0.826923076923077
"DB00318","DB00921",0.854523227383863
"DB00318","DB01551",0.897905759162304
"DB00318","DB01192",0.822716346153846
"DB00318","DB00674",0.733050847457627
"DB00318","DB00615",0.692464358452138
"DB00318","DB06595",0.615263983272347
"DB00318","DB01045",0.658484525080043
"DB00318","DB00956",0.838811630847029
"DB00187","DB00335",0.691292875989446
"DB00195","DB00335",0.686015831134565
"DB00335","DB00264",0.758823529411765
"DB00346","DB00590",0.700716845878136
"DB00363","DB00334",0.619208087615838
"DB00402","DB00615",0.609247967479675
"DB00402","DB01198",1
"DB00418","DB00237",0.839643652561247
"DB00418","DB01351",0.770240700218818
"DB00418","DB00474",0.617088607594937
"DB00418","DB00599",0.686390532544379
"DB00420","DB01621",0.631578947368421
"DB00420","DB00850",0.767441860465116
"DB00420","DB00433",0.783382789317507
"DB00433","DB01621",0.609808102345416
"DB00433","DB00850",0.979651162790698
"DB00458","DB01151",0.986615678776291
"DB00458","DB01242",0.838141025641026
"DB00458","DB00726",0.95264116575592
"DB00477","DB01403",0.669987546699875
"DB00477","DB00679",0.658595641646489
"DB00477","DB00933",0.623303167420814
"DB00477","DB00850",0.928779069767442
"DB00433","DB00477",0.948071216617211
"DB00420","DB00477",0.826291079812207
"DB00477","DB01069",0.721751412429379
"DB00477","DB01621",0.605005440696409
"DB00497","DB00956",0.914602346805737
"DB00497","DB01045",0.674319273892152
"DB00497","DB06595",0.629049111807732
"DB00497","DB00615",0.709331973482917
"DB00497","DB00921",0.840144230769231
"DB00497","DB00674",0.714709371293001
"DB00497","DB01192",0.995436766623207
"DB00497","DB01551",0.86734693877551
"DB00514","DB01551",0.627690100430416
"DB00514","DB00956",0.623663578047042
"DB00599","DB01351",0.640256959314775
"DB00599","DB00237",0.698481561822126
"DB00607","DB00485",0.71437461107654
"DB00615","DB00485",0.65625
"DB00674","DB01551",0.715087281795511
"DB00674","DB01192",0.71055753262159
"DB00615","DB00674",0.641675284384695
"DB00674","DB01045",0.600324499729584
"DB00674","DB00956",0.721771678103556
"DB00679","DB00933",0.918341708542714
"DB00679","DB01403",0.610112359550562
"DB00420","DB00679",0.722298221614227
"DB00679","DB00850",0.65
"DB00679","DB01621",0.681330472103004
"DB00433","DB00679",0.654888103651355
"DB00734","DB01267",0.941176470588235
"DB00737","DB04841",0.600806451612903
"DB00794","DB01174",0.883050847457627
"DB00794","DB00849",0.740056818181818
"DB00849","DB01174",0.838068181818182
"DB00850","DB01621",0.610993657505285
"DB00615","DB00862",0.644059153493116
"DB00908","DB00468",1
"DB00921","DB01551",0.903583061889251
"DB00921","DB01192",0.839253461770018
"DB00674","DB00921",0.696061140505585
"DB00615","DB00921",0.702798982188295
"DB00921","DB06595",0.617463617463617
"DB00921","DB01045",0.658717541070482
"DB00921","DB00956",0.844556324732536
"DB00615","DB00932",0.608247422680412
"DB00433","DB00933",0.624309392265193
"DB00850","DB00933",0.620087336244541
"DB00420","DB00933",0.663316582914573
"DB00933","DB01621",0.719704952581665
"DB00956","DB01045",0.634929270946681
"DB00615","DB00956",0.65859938208033
"DB00615","DB00976",0.62994923857868
"DB00976","DB06595",0.603123317178245
"DB01035","DB01171",0.634078212290503
"DB01036","DB06702",0.676837725381415
"DB00615","DB01045",0.768355739400207
"DB01045","DB06595",0.647362978283351
"DB00420","DB01069",0.846666666666667
"DB00433","DB01069",0.703804347826087
"DB00850","DB01069",0.692923898531375
"DB00679","DB01069",0.674329501915709
"DB00933","DB01069",0.63226571767497
"DB01069","DB01403",0.671447196870926
"DB01115","DB04920",0.716039279869067
"DB01151","DB00726",0.939890710382514
"DB01151","DB01242",0.826923076923077
"DB01184","DB01100",0.736478711162255
"DB01045","DB01192",0.672367717797969
"DB01192","DB06595",0.626241505488761
"DB00615","DB01192",0.705762366139725
"DB00956","DB01192",0.910039113428944
