public_food_id_compound_id_name,contribution
FOOD00004 _ FDB001014 _ Nicotinic acid,0.000417144
FOOD00004 _ FDB001111 _ Chinese tannin,0.226449486
FOOD00004 _ FDB001224 _ L-Ascorbic acid,0.084858965
FOOD00004 _ FDB003513 _ Calcium,0.024671076
FOOD00004 _ FDB003520 _ Phosphorus,0.040045804
FOOD00004 _ FDB003521 _ Potassium,0.27316959
FOOD00004 _ FDB003523 _ Sodium,0.004111846
FOOD00004 _ FDB012019 _ beta-Cryptoxanthin,2.65E-06
FOOD00004 _ FDB012160 _ Riboflavine,4.17E-05
FOOD00004 _ FDB014613 _ beta-Carotene,7.63E-05
FOOD00004 _ FDB015471 _ Lutein,0.000128719
FOOD00004 _ FDB016251 _ Iron,0.000393307
FOOD00004 _ FDB021453 _ Pectic acid,0.345633426
FOOD00006 _ FDB000446 _ L-Tyrosine,0.003780936
FOOD00006 _ FDB000474 _ L-Lysine,0.007301117
FOOD00006 _ FDB000484 _ Glycine,0.006388477
FOOD00006 _ FDB000556 _ L-Alanine,0.009780473
FOOD00006 _ FDB000565 _ alpha-Tocopherol,3.33E-05
FOOD00006 _ FDB000574 _ Pyridoxine,2.08E-05
FOOD00006 _ FDB000710 _ Choline,0.001818706
FOOD00006 _ FDB000846 _ Vanillic acid,0.000565333
FOOD00006 _ FDB001014 _ Nicotinic acid,8.33E-05
FOOD00006 _ FDB001131 _ Sucrose,0.250345923
FOOD00006 _ FDB001224 _ L-Ascorbic acid,0.003027159
FOOD00006 _ FDB001946 _ L-Leucine,0.005345461
FOOD00006 _ FDB002237 _ Trigonelline,2.85E-05
FOOD00006 _ FDB002250 _ L-Tryptophan,0.002216411
FOOD00006 _ FDB002257 _ Arginine,0.02059958
FOOD00006 _ FDB003513 _ Calcium,0.003514703
FOOD00006 _ FDB003516 _ Chromium,4.44E-06
FOOD00006 _ FDB003520 _ Phosphorus,0.004725348
FOOD00006 _ FDB003521 _ Potassium,0.025941754
FOOD00006 _ FDB003523 _ Sodium,0.002256948
FOOD00006 _ FDB003570 _ Aluminum,0.000422137
FOOD00006 _ FDB003575 _ Boron,5.04E-05
FOOD00006 _ FDB003581 _ Cobalt,2.20E-07
FOOD00006 _ FDB003582 _ Copper,1.24E-05
FOOD00006 _ FDB003636 _ Manganese,4.27E-05
FOOD00006 _ FDB003653 _ Molybdenum,2.63E-06
FOOD00006 _ FDB003668 _ Prostaglandin A-1,2.19E-06
FOOD00006 _ FDB003713 _ Silicon,8.33E-05
FOOD00006 _ FDB003717 _ Sulfur,0.004552242
FOOD00006 _ FDB003729 _ Zinc,6.03E-05
FOOD00006 _ FDB003763 _ Arsenic,8.55E-08
FOOD00006 _ FDB003766 _ Cadmium,4.22E-07
FOOD00006 _ FDB003777 _ Lead,1.54E-06
FOOD00006 _ FDB003780 _ Mercury,1.10E-09
FOOD00006 _ FDB004181 _ Lithium,5.22E-07
FOOD00006 _ FDB004188 _ Silver,1.01E-07
FOOD00006 _ FDB008293 _ Pyruvic acid,0.002265713
FOOD00006 _ FDB008322 _ Pantothenic acid,1.86E-05
FOOD00006 _ FDB010494 _ Diphenylamine,0.012067002
FOOD00006 _ FDB010508 _ 4-Hydroxybenzoic acid,0.00023446
FOOD00006 _ FDB011824 _ beta-D-Glucopyranose,0.285514869
FOOD00006 _ FDB011856 _ L-Histidine,0.002477165
FOOD00006 _ FDB011904 _ Quercetin,0.052698638
FOOD00006 _ FDB011999 _ L-Threonine,0.003650558
FOOD00006 _ FDB012160 _ Riboflavine,1.69E-05
FOOD00006 _ FDB012397 _ L-Isoleucine,0.005475838
FOOD00006 _ FDB012528 _ D-Fructose,0.250017241
FOOD00006 _ FDB012563 _ L-Cystine,0.002737919
FOOD00006 _ FDB012567 _ L-Aspartic acid,0.008334273
FOOD00006 _ FDB012683 _ L-Methionine,0.001303771
FOOD00006 _ FDB012739 _ L-Serine,0.004563198
FOOD00006 _ FDB012858 _ Oleic acid,0.00269519
FOOD00006 _ FDB013400 _ Selenium,4.38E-09
FOOD00006 _ FDB013444 _ Nickel,2.79E-06
FOOD00006 _ FDB013879 _ Phloroglucinol,0.000219121
FOOD00006 _ FDB014613 _ beta-Carotene,5.70E-05
FOOD00006 _ FDB016251 _ Iron,0.000150098
FOOD00006 _ FDB017095 _ Quercetin 4'-glucoside,0.012489906
FOOD00009 _ FDB000446 _ L-Tyrosine,0.0288594
FOOD00009 _ FDB000484 _ Glycine,0.049524156
FOOD00009 _ FDB000556 _ L-Alanine,0.044892401
FOOD00009 _ FDB000574 _ Pyridoxine,6.33E-05
FOOD00009 _ FDB000633 _ Kaempferol,0.00016099
FOOD00009 _ FDB001014 _ Nicotinic acid,0.000245443
FOOD00009 _ FDB001224 _ L-Ascorbic acid,0.026212306
FOOD00009 _ FDB001946 _ L-Leucine,0.059500245
FOOD00009 _ FDB002250 _ L-Tryptophan,0.011044956
FOOD00009 _ FDB002257 _ Arginine,0.071970357
FOOD00009 _ FDB002593 _ p-Coumaric acid,0.000110845
FOOD00009 _ FDB003513 _ Calcium,0.029202493
FOOD00009 _ FDB003520 _ Phosphorus,0.018070445
FOOD00009 _ FDB003521 _ Potassium,0.089072224
FOOD00009 _ FDB003523 _ Sodium,0.002137733
FOOD00009 _ FDB008322 _ Pantothenic acid,6.33E-05
FOOD00009 _ FDB011856 _ L-Histidine,0.017101867
FOOD00009 _ FDB011904 _ Quercetin,3.43E-05
FOOD00009 _ FDB011999 _ L-Threonine,0.039548067
FOOD00009 _ FDB012160 _ Riboflavine,6.07E-05
FOOD00009 _ FDB012397 _ L-Isoleucine,0.042398378
FOOD00009 _ FDB012462 _ alpha-Linolenic acid,0.004631756
FOOD00009 _ FDB012535 _ L-Glutamic acid,0.206317662
FOOD00009 _ FDB012567 _ L-Aspartic acid,0.092278824
FOOD00009 _ FDB012683 _ L-Methionine,0.010688667
FOOD00009 _ FDB012739 _ L-Serine,0.044892401
"FOOD00009 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.079096135
FOOD00009 _ FDB012858 _ Oleic acid,0.029928267
FOOD00009 _ FDB014613 _ beta-Carotene,0.001343341
FOOD00009 _ FDB016251 _ Iron,0.000548949
FOOD00011 _ FDB000446 _ L-Tyrosine,0.007868156
FOOD00011 _ FDB000474 _ L-Lysine,0.013091881
FOOD00011 _ FDB000484 _ Glycine,0.01286787
FOOD00011 _ FDB000556 _ L-Alanine,0.011248961
FOOD00011 _ FDB000574 _ Pyridoxine,3.97E-06
FOOD00011 _ FDB001014 _ Nicotinic acid,1.91E-05
FOOD00011 _ FDB001111 _ Chinese tannin,0.142985165
FOOD00011 _ FDB001224 _ L-Ascorbic acid,0.014101515
FOOD00011 _ FDB001946 _ L-Leucine,0.020591452
FOOD00011 _ FDB002250 _ L-Tryptophan,0.003797845
FOOD00011 _ FDB002257 _ Arginine,0.027898789
FOOD00011 _ FDB003010 _ Dodecanoic acid,0.012562835
FOOD00011 _ FDB003336 _ Octanoic acid,0.002115386
FOOD00011 _ FDB003513 _ Calcium,0.00074114
FOOD00011 _ FDB003516 _ Chromium,4.77E-07
FOOD00011 _ FDB003520 _ Phosphorus,0.002561818
FOOD00011 _ FDB003521 _ Potassium,0.009067643
FOOD00011 _ FDB003523 _ Sodium,0.000315362
FOOD00011 _ FDB003570 _ Aluminum,3.18E-06
FOOD00011 _ FDB003575 _ Boron,5.08E-06
FOOD00011 _ FDB003581 _ Cobalt,1.59E-07
FOOD00011 _ FDB003582 _ Copper,4.69E-05
FOOD00011 _ FDB003635 _ Iodine,1.59E-07
FOOD00011 _ FDB003636 _ Manganese,1.33E-05
FOOD00011 _ FDB003653 _ Molybdenum,1.59E-07
FOOD00011 _ FDB003713 _ Silicon,0.002033567
FOOD00011 _ FDB003717 _ Sulfur,0.007625875
FOOD00011 _ FDB003722 _ Tin,1.43E-06
FOOD00011 _ FDB003729 _ Zinc,8.34E-05
FOOD00011 _ FDB003763 _ Arsenic,3.18E-08
FOOD00011 _ FDB003766 _ Cadmium,4.77E-08
FOOD00011 _ FDB003777 _ Lead,4.77E-07
FOOD00011 _ FDB003780 _ Mercury,1.59E-08
FOOD00011 _ FDB003792 _ Vanadium,3.18E-08
FOOD00011 _ FDB008322 _ Pantothenic acid,1.99E-05
FOOD00011 _ FDB011856 _ L-Histidine,0.00639382
FOOD00011 _ FDB011999 _ L-Threonine,0.009486271
FOOD00011 _ FDB012027 _ Decanoic acid,0.002115386
FOOD00011 _ FDB012160 _ Riboflavine,1.52E-05
FOOD00011 _ FDB012397 _ L-Isoleucine,0.011713662
FOOD00011 _ FDB012462 _ alpha-Linolenic acid,0.002580088
FOOD00011 _ FDB012535 _ L-Glutamic acid,0.058073425
FOOD00011 _ FDB012563 _ L-Cystine,0.004535013
FOOD00011 _ FDB012567 _ L-Aspartic acid,0.024116831
FOOD00011 _ FDB012683 _ L-Methionine,0.004390439
FOOD00011 _ FDB012739 _ L-Serine,0.013605038
"FOOD00011 _ FDB012760 _ (Z,Z)-9,12-Octadecadienoic acid",0.122748792
FOOD00011 _ FDB012858 _ Oleic acid,0.448083731
FOOD00011 _ FDB013400 _ Selenium,3.18E-07
FOOD00011 _ FDB013444 _ Nickel,7.94E-06
FOOD00011 _ FDB014504 _ Folic acid,1.11E-06
FOOD00011 _ FDB014613 _ beta-Carotene,4.81E-05
FOOD00011 _ FDB016249 _ Chlorine,0.000292325
FOOD00011 _ FDB016251 _ Iron,6.28E-05
FOOD00012 _ FDB000446 _ L-Tyrosine,0.002627692
FOOD00012 _ FDB000474 _ L-Lysine,0.005266482
FOOD00012 _ FDB000484 _ Glycine,0.003673774
FOOD00012 _ FDB000556 _ L-Alanine,0.003965123
FOOD00012 _ FDB000565 _ alpha-Tocopherol,2.22E-05
FOOD00012 _ FDB000574 _ Pyridoxine,1.91E-05
FOOD00012 _ FDB000753 _ Ethanol,0.00033297
FOOD00012 _ FDB000787 _ L-Asparagine,0.006942433
FOOD00012 _ FDB001014 _ Nicotinic acid,9.71E-05
FOOD00012 _ FDB001037 _ 4-Aminobenzoic acid,2.77E-06
FOOD00012 _ FDB001128 _ Starch,0.000105441
FOOD00012 _ FDB001131 _ Sucrose,0.579923487
FOOD00012 _ FDB001182 _ Cellulose,0.026915109
FOOD00012 _ FDB001224 _ L-Ascorbic acid,0.012003584
FOOD00012 _ FDB001325 _ Methyl 3-methylbutanoate,3.33E-06
FOOD00012 _ FDB001326 _ Ethyl isovalerate,2.16E-06
FOOD00012 _ FDB001946 _ L-Leucine,0.003970672
FOOD00012 _ FDB002257 _ Arginine,0.003826385
FOOD00012 _ FDB002593 _ p-Coumaric acid,0.002941239
FOOD00012 _ FDB003240 _ Ethyl acetate,0.000341295
FOOD00012 _ FDB003337 _ Methyl caprylate,4.16E-06
FOOD00012 _ FDB003513 _ Calcium,0.003801412
FOOD00012 _ FDB003520 _ Phosphorus,0.002727583
FOOD00012 _ FDB003521 _ Potassium,0.027864075
FOOD00012 _ FDB003523 _ Sodium,0.000527203
FOOD00012 _ FDB003575 _ Boron,1.11E-06
FOOD00012 _ FDB003582 _ Copper,2.72E-05
FOOD00012 _ FDB003635 _ Iodine,2.77E-06
